date,open,high,low,close,Volume BTC,Volume USDT
8/22/2017 9:00,3794.12,3920.31,3775.01,3904.56,75.23,290435.21
8/22/2017 10:00,3904.56,3904.56,3826.12,3844.08,59.07,228602.5
8/22/2017 11:00,3844.08,3905.56,3841.18,3866.48,48.9,189179.51
8/22/2017 12:00,3866.48,3990.12,3853.53,3934.01,72.12,281731.35
8/22/2017 13:00,3934.01,3964.75,3874.35,3920.99,37.05,144831.65
8/22/2017 14:00,3920.99,3920.99,3786.81,3849,26.18,100861.79
8/22/2017 15:00,3849,3921.63,3810.07,3858.23,35.49,137407.49
8/22/2017 16:00,3858.23,3952.89,3853.47,3905.84,34.2,133182.5
8/22/2017 17:00,3905.84,3998.99,3888.79,3943,45.24,178680.01
8/22/2017 18:00,3943,4104.82,3943,4043.76,44.49,179328.43
8/22/2017 19:00,4043.76,4101.24,3984.23,3984.24,33.74,135938.88
8/22/2017 20:00,3984.24,4061.54,3953.13,3960.29,29.9,119217.64
8/22/2017 21:00,3960.29,4038.96,3946.67,3946.67,20.77,82136.93
8/22/2017 22:00,3946.67,4046.11,3944.04,4002,31.12,124367.17
8/22/2017 23:00,4002,4045,3944.03,4040,40.43,161627.43
8/23/2017 0:00,4040,4077.18,4013.89,4036,23.84,96279.69
8/23/2017 1:00,4036,4100,4035.38,4100,46.11,187383.62
8/23/2017 2:00,4100,4127.99,4049.74,4083.72,45.62,187116.36
8/23/2017 3:00,4083.72,4126.99,4050.04,4100.41,42.98,175706.49
8/23/2017 4:00,4100.41,4115.87,4054.01,4083.6,37.27,152209.67
8/23/2017 5:00,4083.6,4110,4053.18,4053.18,32.71,133332.36
8/23/2017 6:00,4053.18,4099.99,4035.32,4080,35.47,144551.65
8/23/2017 7:00,4080,4098.88,4052.49,4074.88,35,142562.81
8/23/2017 8:00,4074.88,4124,4057,4124,36.42,148515.5
8/23/2017 9:00,4124,4242.32,4100.15,4203.12,38.77,162392.59
8/23/2017 10:00,4203.12,4228.02,4188.63,4228.02,23.9,100681.13
8/23/2017 11:00,4228.02,4237.99,4174.09,4237.99,30.9,129989.94
8/23/2017 12:00,4237.99,4265.8,4174,4215.68,57.92,244801.67
8/23/2017 13:00,4215.68,4230.92,4155,4211,79.09,332126.57
8/23/2017 14:00,4211,4212.29,4154.51,4174,57.37,240554.5
8/23/2017 15:00,4174,4226.95,4150.65,4197.05,35.01,146660.39
8/23/2017 16:00,4197.05,4259.58,4197.05,4210.03,70.87,299403.33
8/23/2017 17:00,4210.03,4231,4166.27,4166.27,38.9,162992.33
8/23/2017 18:00,4166.27,4191.71,4135.38,4143.37,31.63,131452.47
8/23/2017 19:00,4143.37,4168.9,4103.51,4117.07,31.47,130057.55
8/23/2017 20:00,4117.07,4136.48,4073.41,4118.4,42.44,173818.07
8/23/2017 21:00,4118.4,4178.65,4090,4090,38.67,159280.6
8/23/2017 22:00,4090,4152,4069.8,4114.2,26.89,110305.1
8/23/2017 23:00,4114.2,4169.99,4113.79,4114.01,41.23,170332.13
8/24/2017 0:00,4114.01,4154.55,4114.01,4131,29.8,123230.84
8/24/2017 1:00,4131,4195,4113.9,4140.91,29.87,123891.6
8/24/2017 2:00,4140.91,4204.55,4131.92,4131.92,27.28,113622.43
8/24/2017 3:00,4131.92,4163.59,4085.01,4113.58,34.65,142808.72
8/24/2017 4:00,4113.58,4148.19,4090.39,4113.98,31.56,129967.44
8/24/2017 5:00,4113.98,4177.64,4113.49,4132.09,27.99,115749.06
8/24/2017 6:00,4132.09,4177.18,4131.91,4133.42,28.68,119013.45
8/24/2017 7:00,4133.42,4173.99,4133.41,4153.32,32.17,133638.4
8/24/2017 8:00,4153.32,4206.88,4153.32,4200,32,133941.24
8/24/2017 9:00,4200,4224,4150,4165.01,37.57,157448.69
8/24/2017 10:00,4165.01,4250.94,4165.01,4173.98,61.37,256887.06
8/24/2017 11:00,4173.98,4215.53,4166.67,4202,32.22,134786.18
8/24/2017 12:00,4202,4224.64,4136.33,4150.89,31.01,129635.68
8/24/2017 13:00,4150.89,4184.48,4148.78,4157.74,38.17,158769.72
8/24/2017 14:00,4157.74,4250.9,4157.74,4221,51.87,217588.8
8/24/2017 15:00,4221,4250.78,4196.01,4222,23.98,101135.93
8/24/2017 16:00,4222,4250.71,4207.86,4215,29.08,122844.71
8/24/2017 17:00,4215,4236,4178.22,4188.18,27.54,115785.73
8/24/2017 18:00,4188.18,4221,4179.22,4221,27.91,117062.33
8/24/2017 19:00,4221,4250.77,4206.61,4216.07,26.66,112561.63
8/24/2017 20:00,4216.07,4245,4193.17,4193.5,22.57,95110.46
8/24/2017 21:00,4193.5,4234,4193.5,4207,23.74,100086.47
8/24/2017 22:00,4207,4330.61,4206.11,4326.23,27.25,116010.23
8/24/2017 23:00,4326.23,4371.68,4297.76,4316.01,35.51,153828.99
8/25/2017 0:00,4316.01,4369,4310.59,4366,46.96,203626.64
8/25/2017 1:00,4366,4370,4328.58,4333.01,36.55,159049.81
8/25/2017 2:00,4333.01,4363.71,4328.58,4363.71,27.54,119674
8/25/2017 3:00,4363.71,4363.71,4295.75,4312.69,28.3,122050.42
8/25/2017 4:00,4312.69,4362,4310.2,4310.2,29.84,129193.76
8/25/2017 5:00,4310.2,4340,4281.04,4281.04,17.76,76576.94
8/25/2017 6:00,4281.04,4333.96,4267.5,4302.72,31.12,133630.92
8/25/2017 7:00,4302.72,4335,4300,4329,21.32,92150.65
8/25/2017 8:00,4329,4354.35,4316.54,4332.17,21.36,92460.23
8/25/2017 9:00,4332.17,4352,4332.17,4344.56,12.21,52971.48
8/25/2017 10:00,4344.56,4344.56,4298.74,4314.33,15.01,64932.78
8/25/2017 11:00,4314.33,4361.28,4313,4361.27,24.78,107389.15
8/25/2017 12:00,4361.27,4361.27,4261.13,4309.69,106.81,461224.61
8/25/2017 13:00,4309.69,4345,4297.66,4312,20.8,89785.16
8/25/2017 14:00,4312,4340,4291.52,4305,10.41,44936.49
8/25/2017 15:00,4305,4422.29,4305,4394.36,21.48,93946.91
8/25/2017 16:00,4394.36,4453.91,4375.29,4447.31,17.53,77341.24
8/25/2017 17:00,4447.31,4447.31,4372.29,4402.32,15.76,69359.24
8/25/2017 18:00,4402.32,4449.44,4388.88,4449.44,9.3,40996.05
8/25/2017 19:00,4449.44,4449.44,4284.11,4307.17,9.38,40740.3
8/25/2017 20:00,4307.17,4326,4247.48,4286.29,11.1,47478.06
8/25/2017 21:00,4286.29,4336.13,4250.08,4288.99,9.47,40821.29
8/25/2017 22:00,4288.99,4365,4288.99,4303.37,8.78,37905.14
8/25/2017 23:00,4303.37,4343.18,4280.68,4280.68,9.78,42082.53
8/26/2017 0:00,4280.68,4315,4274.33,4281,5.2,22301.66
8/26/2017 1:00,4281,4315,4281,4284,4.26,18283.57
8/26/2017 2:00,4284,4305.75,4260.62,4266.04,14.61,62640.85
8/26/2017 3:00,4266.04,4297.94,4228.99,4297.94,17.57,74994.46
8/26/2017 4:00,4297.94,4297.94,4271.51,4297.94,0.5465,2345.72
8/26/2017 5:00,4297.94,4319.67,4252.44,4295.75,16.85,72259.25
8/26/2017 6:00,4295.75,4319.7,4280.81,4319.7,8.94,38437.88
8/26/2017 7:00,4319.7,4319.7,4297.94,4319.7,2.37,10210.7
8/26/2017 8:00,4319.7,4319.7,4318.74,4319.7,1.61,6961.9
8/26/2017 9:00,4319.7,4319.7,4260.88,4274.84,14.73,63231.24
8/26/2017 10:00,4274.84,4317.99,4274.84,4292.8,6.29,27054.28
8/26/2017 11:00,4292.8,4317.99,4287.79,4288.72,13.52,58171.45
8/26/2017 12:00,4288.72,4306.74,4234.42,4243.98,15.69,66934.74
8/26/2017 13:00,4243.98,4295,4221.14,4261.89,9.44,40211.94
8/26/2017 14:00,4261.89,4274,4242.04,4274,4.3,18341.6
8/26/2017 15:00,4274,4275,4246.96,4275,4.96,21138.98
8/26/2017 16:00,4275,4275,4212.41,4265.97,10.43,44183.81
8/26/2017 17:00,4265.97,4272.99,4230.02,4255.19,8.75,37191.56
8/26/2017 18:00,4255.19,4273,4236.51,4272,5.58,23782.72
8/26/2017 19:00,4272,4351.32,4258.51,4293.52,21.87,93955.14
8/26/2017 20:00,4293.52,4335.06,4279,4333.56,10.56,45544.43
8/26/2017 21:00,4333.56,4345,4288.1,4313.98,12.22,52698.61
8/26/2017 22:00,4313.98,4330,4288.09,4300,7.72,33326.96
8/26/2017 23:00,4300,4367,4288.09,4337.44,7.75,33549.85
8/27/2017 0:00,4337.44,4368.2,4315.52,4354,18.54,80501.08
8/27/2017 1:00,4354,4383.03,4338.93,4379.32,19.41,84588.97
8/27/2017 2:00,4379.32,4400,4368.1,4368.1,10.65,46681.6
8/27/2017 3:00,4368.1,4379.24,4314.91,4314.91,14.3,62119.78
8/27/2017 4:00,4314.91,4370.85,4303.02,4328,12.55,54328.34
8/27/2017 5:00,4328,4342.19,4293.42,4320.52,12.64,54640.26
8/27/2017 6:00,4320.52,4344.9,4314.89,4314.9,13.08,56645.73
8/27/2017 7:00,4314.9,4342.96,4298.75,4313.84,8.53,36958.96
8/27/2017 8:00,4313.84,4352.34,4302.12,4302.14,15.88,68753.82
8/27/2017 9:00,4302.14,4345.81,4302.11,4320.81,12.22,52848.6
8/27/2017 10:00,4320.81,4330,4285.56,4302.73,13.78,59335.76
8/27/2017 11:00,4302.73,4344.99,4285.8,4323.37,14.29,61690.54
8/27/2017 12:00,4323.37,4340,4298.66,4298.66,11,47581.29
8/27/2017 13:00,4298.66,4333.68,4285.54,4312.69,11.9,51332.28
8/27/2017 14:00,4312.69,4324.36,4295.89,4312.19,5.18,22350.62
8/27/2017 15:00,4312.19,4335,4295.28,4325,7.19,31005.8
8/27/2017 16:00,4325,4339.99,4290.01,4306,10.85,46940.26
8/27/2017 17:00,4306,4370.92,4306,4340,19.74,86004.78
8/27/2017 18:00,4340,4370.92,4335,4368.41,5.62,24533.28
8/27/2017 19:00,4368.41,4386.78,4327.62,4368.41,34.52,150113.08
8/27/2017 20:00,4368.41,4386.79,4336.12,4345,29.24,127509.7
8/27/2017 21:00,4345,4386,4336.09,4370,16.69,72639.3
8/27/2017 22:00,4370,4371.42,4315.16,4315.16,11.04,47964.33
8/27/2017 23:00,4315.16,4367.4,4309.6,4310.01,18.62,80521.82
8/28/2017 0:00,4310.01,4326.99,4282.2,4282.2,29.15,125313.1
8/28/2017 1:00,4282.2,4317.2,4265.45,4280.04,26.82,114885.32
8/28/2017 2:00,4280.04,4330.36,4258.78,4295,7.81,33621.85
8/28/2017 3:00,4295,4310,4239.36,4239.37,8.63,36745.3
8/28/2017 4:00,4239.37,4252.76,4124.54,4227,36.11,150613.07
8/28/2017 5:00,4227,4251.92,4150.1,4169.01,17.82,74601.55
8/28/2017 6:00,4169.01,4282.07,4169.01,4221.04,15.95,67642.24
8/28/2017 7:00,4221.04,4297.11,4207.42,4261.9,16.7,71020.74
8/28/2017 8:00,4261.9,4305,4239.15,4252.7,22.83,97630.86
8/28/2017 9:00,4252.7,4298.83,4226.93,4227,18,76494.35
8/28/2017 10:00,4227,4317.21,4227,4290.77,36.98,157848.41
8/28/2017 11:00,4290.77,4365.4,4288.07,4308,43.9,189478.68
8/28/2017 12:00,4308,4347,4271.86,4280,33.5,144184.68
8/28/2017 13:00,4280,4347,4279.82,4347,19.15,82641.25
8/28/2017 14:00,4347,4347,4279.82,4291.13,32.23,138580.96
8/28/2017 15:00,4291.13,4315,4271.03,4273.59,35.1,150753.28
8/28/2017 16:00,4273.59,4341.99,4273.59,4322.65,23.26,100049.06
8/28/2017 17:00,4322.65,4370.45,4313.66,4324.67,41.92,182013.93
8/28/2017 18:00,4324.67,4362.99,4307.22,4312.7,18.64,80696.29
8/28/2017 19:00,4312.7,4361.37,4312.69,4321.65,23.32,100938.45
8/28/2017 20:00,4321.65,4339.8,4290.18,4312.43,13.37,57720.15
8/28/2017 21:00,4312.43,4349.98,4312.43,4331.47,20.52,88877.24
8/28/2017 22:00,4331.47,4399.82,4331.45,4353.32,22.75,99044.39
8/28/2017 23:00,4353.32,4386.69,4350.7,4386.69,28.7,125223.59
8/29/2017 0:00,4386.69,4386.69,4331.46,4349.44,20.29,88357.61
8/29/2017 1:00,4349.44,4386.69,4331.47,4349.54,20.18,88009.52
8/29/2017 2:00,4349.54,4359.99,4314.35,4314.78,17.15,74332.07
8/29/2017 3:00,4314.78,4383.99,4314.78,4376.99,21.08,91968.91
8/29/2017 4:00,4376.99,4383.98,4358.5,4363.16,27.46,119903.72
8/29/2017 5:00,4363.16,4404.05,4343.49,4356.76,30.29,132314.43
8/29/2017 6:00,4356.76,4389.49,4343.48,4363.21,30.11,131497.53
8/29/2017 7:00,4363.21,4404.07,4313.55,4329.02,36.94,161061.77
8/29/2017 8:00,4329.02,4382.99,4328.12,4352.52,25.95,112908.81
8/29/2017 9:00,4352.52,4379.99,4329.59,4367.4,30.61,133042.44
8/29/2017 10:00,4367.4,4368.47,4329.57,4346.86,11.08,48229.76
8/29/2017 11:00,4346.86,4417.61,4333.2,4368.5,20.4,89230.7
8/29/2017 12:00,4368.5,4436.94,4347.59,4408.08,41.2,180641.13
8/29/2017 13:00,4408.08,4625.85,4408.08,4580,31.73,142793.2
8/29/2017 14:00,4580,4599.96,4530.87,4545.87,18.54,84670.19
8/29/2017 15:00,4545.87,4597.97,4545.75,4570,33.38,152648.29
8/29/2017 16:00,4570,4584,4503.92,4503.92,30.83,139924.8
8/29/2017 17:00,4503.92,4555.55,4496.95,4555.55,36.1,163394.15
8/29/2017 18:00,4555.55,4555.55,4511.45,4536.63,25.24,114433.49
8/29/2017 19:00,4536.63,4555.55,4521.01,4555.55,33.56,152388.6
8/29/2017 20:00,4555.55,4597,4535.09,4577.54,13.59,62093.41
8/29/2017 21:00,4577.54,4624.99,4550.09,4618.93,25.72,118493.16
8/29/2017 22:00,4618.93,4618.93,4564.77,4591.88,4.54,20794.15
8/29/2017 23:00,4591.88,4619.6,4564.81,4587.48,8.17,37453.02
8/30/2017 0:00,4587.48,4599.78,4527.45,4575.23,26.27,119850.97
8/30/2017 1:00,4575.23,4619.99,4575.23,4597.55,45.01,206861.87
8/30/2017 2:00,4597.55,4615.55,4565.33,4604.12,25.85,118666.25
8/30/2017 3:00,4604.12,4618.3,4582.6,4583.61,21.4,98265.67
8/30/2017 4:00,4583.61,4625,4579.61,4579.61,43.64,200660.12
8/30/2017 5:00,4579.61,4617,4558.89,4590.49,34.42,157750.3
8/30/2017 6:00,4590.49,4647.51,4575.55,4588,38.4,177049.49
8/30/2017 7:00,4588,4632,4550.01,4550.02,31.43,144222.8
8/30/2017 8:00,4550.02,4597,4542.42,4552.69,22.73,103742.45
8/30/2017 9:00,4552.69,4589.77,4482,4482,27.98,127084.05
8/30/2017 10:00,4482,4538.09,4416.01,4477.1,77.62,347730.15
8/30/2017 11:00,4477.1,4569,4470.23,4498.35,39.71,179832.59
8/30/2017 12:00,4498.35,4592.76,4416.16,4570,47.83,215815.9
8/30/2017 13:00,4570,4588,4532.5,4585.31,38.18,174161.97
8/30/2017 14:00,4585.31,4589.67,4531.48,4558.16,33.17,151299.02
8/30/2017 15:00,4558.16,4575.18,4516.95,4546.77,36.81,167214.76
8/30/2017 16:00,4546.77,4598.08,4546.74,4589.99,28.14,128417.69
8/30/2017 17:00,4589.99,4600,4546.74,4600,21.99,100587.25
8/30/2017 18:00,4600,4609.92,4556,4556,13.83,63398.82
8/30/2017 19:00,4556,4574.3,4532.8,4536.82,20.7,94220.96
8/30/2017 20:00,4536.82,4571.87,4516.87,4547.74,17.61,80036.81
8/30/2017 21:00,4547.74,4565,4531.53,4547.26,24.05,109413.8
8/30/2017 22:00,4547.26,4579.91,4547.24,4547.9,32.29,147257.26
8/30/2017 23:00,4547.9,4579.85,4547.81,4555.14,41.05,187196.74
8/31/2017 0:00,4555.14,4579.99,4555.14,4569.66,33.39,152557.5
8/31/2017 1:00,4569.66,4605.99,4569.65,4574.8,27.08,124073.92
8/31/2017 2:00,4574.8,4600,4569.6,4596.54,30.39,139514.9
8/31/2017 3:00,4596.54,4606,4592.19,4593.66,17.06,78429.98
8/31/2017 4:00,4593.66,4609,4586.49,4591.56,38.61,177562.69
8/31/2017 5:00,4591.56,4628.12,4578.17,4598.54,10.51,48376.52
8/31/2017 6:00,4598.54,4613,4572.99,4572.99,31.84,146164.2
8/31/2017 7:00,4572.99,4603.34,4572.64,4592.16,21.47,98497.86
